"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1","p","x","s","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","s","u"
"2","e","x","s","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","n","g"
"4","p","x","y","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","s","u"
"6","e","x","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","g"
"8","e","b","y","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","m"
"10","e","b","s","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","m"
"11","e","x","y","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","g"
"13","e","b","s","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","g"
"16","e","s","f","g","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","y","u"
"20","p","x","s","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","s","u"
"22","p","x","y","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","g"
"23","e","b","y","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","m"
"25","e","b","s","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","m"
"27","e","x","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","m"
"32","p","x","y","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","s","u"
"33","e","x","y","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","m"
"34","e","x","y","n","t","l","f","c","b","p","e","r","s","y","w","w","p","w","o","p","n","y","p"
"40","e","b","s","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","m"
"41","e","b","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","g"
"42","e","x","y","y","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","y","p"
"43","e","x","f","n","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","k","y","u"
"44","p","x","y","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","v","g"
"45","e","x","s","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","n","m"
"47","e","x","y","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","m"
"48","e","x","s","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","m"
"49","e","x","y","y","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","s","p"
"51","e","x","y","n","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","s","g"
"53","e","b","s","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","n","m"
"54","p","x","y","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","v","u"
"55","p","x","s","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","u"
"57","e","f","f","g","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","a","g"
"59","e","x","s","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","n","g"
"61","e","s","f","g","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","v","u"
"62","e","b","y","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","m"
"64","e","b","y","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","m"
"66","e","f","s","n","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","k","a","g"
"67","e","x","s","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","g"
"70","e","x","f","g","f","n","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","v","u"
"71","e","f","f","y","t","l","f","w","n","p","t","b","s","s","w","w","p","w","o","p","n","v","d"
"72","e","b","y","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","m"
"74","e","x","y","n","t","a","f","c","b","p","e","r","s","y","w","w","p","w","o","p","k","s","p"
"76","e","f","s","y","t","l","f","w","n","p","t","b","s","s","w","w","p","w","o","p","n","v","d"
"77","e","x","s","w","t","l","f","w","n","n","t","b","s","s","w","w","p","w","o","p","u","v","d"
"78","e","f","y","n","t","l","f","c","b","p","e","r","s","y","w","w","p","w","o","p","n","y","p"
"80","e","f","y","n","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","y","g"
"82","p","x","y","w","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","k","s","g"
"83","e","f","f","g","f","n","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","y","u"
"84","e","x","f","g","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","s","g"
"86","e","x","s","n","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","k","s","g"
"87","e","b","s","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","g"
"88","e","x","s","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","g"
